id_tipo_pizza,nombre,categoria,ingredientes
hawaiana_m,Pizza Hawaiana,Clasica,"Jamon en Lonjas, Pina, Queso Mozzarella"
clasica_dlx_m,La Clasica Deluxe,Clasica,"Pepperoni, Champinon, Cebolla Roja, Pimiento Rojo, Tocino"
cinco_quesos_g,Pizza Cinco Quesos,Vegetariana,"Queso Mozzarella, Queso Provolone, Queso Gouda Ahumado, Queso Romano, Queso Azul, Ajo"
supr_italiana_g,Pizza Suprema Italiana,Suprema,"Salami Calabres, Capocollo, Tomate, Cebolla Roja, Aceituna Verde, Ajo"
mexicana_m,Pizza Mexicana,Vegetariana,"Tomate, Pimiento Rojo, Chile Jalapeno, Cebolla Roja, Cilantro, Maiz, Salsa Chipotle, Ajo"
pollo_tai_g,Pizza Pollo Thai,Pollo,"Pollo, Pina, Tomate, Pimiento Rojo, Salsa Dulce de Chile Thai"
supr_italiana_m,Pizza Suprema Italiana,Suprema,"Salami Calabres, Capocollo, Tomate, Cebolla Roja, Aceituna Verde, Ajo"
prsc_rucula_g,Pizza Prosciutto y Rucula,Suprema,"Prosciutto di San Daniele, Rucula, Queso Mozzarella"
pollo_bbq_p,Pizza Pollo BBQ,Pollo,"Pollo a la Barbacoa, Pimiento Rojo, Pimiento Verde, Tomate, Cebolla Roja, Salsa Barbacoa"
griega_p,Pizza Griega,Clasica,"Aceituna Kalamata, Queso Feta, Tomate, Ajo, Carne de Res, Cebolla Roja"
supr_espinaca_p,Pizza Suprema de Espinaca,Suprema,"Espinaca, Cebolla Roja, Pepperoni, Tomate, Alcachofa, Aceituna Kalamata, Ajo, Queso Asiago"
clasica_dlx_p,La Clasica Deluxe,Clasica,"Pepperoni, Champinon, Cebolla Roja, Pimiento Rojo, Tocino"
jardin_verde_p,Pizza Jardin Verde,Vegetariana,"Espinaca, Champinon, Tomate, Aceituna Verde, Queso Feta"
capocollo_ital_g,Pizza Capocollo Italiano,Clasica,"Capocollo, Pimiento Rojo, Tomate, Queso de Cabra, Ajo, Oregano"
supr_italiana_p,Pizza Suprema Italiana,Suprema,"Salami Calabres, Capocollo, Tomate, Cebolla Roja, Aceituna Verde, Ajo"
mexicana_p,Pizza Mexicana,Vegetariana,"Tomate, Pimiento Rojo, Chile Jalapeno, Cebolla Roja, Cilantro, Maiz, Salsa Chipotle, Ajo"
ital_picante_g,Pizza Italiana Picante,Suprema,"Capocollo, Tomate, Queso de Cabra, Alcachofa, Peperoncini Verde, Ajo"
espinaca_pesto_g,Pizza Espinaca con Pesto,Vegetariana,"Espinaca, Alcachofa, Tomate, Tomate Seco, Ajo, Salsa Pesto"
veg_veg_p,Pizza Vegetales,Vegetariana,"Champinon, Tomate, Pimiento Rojo, Pimiento Verde, Cebolla Roja, Calabacin, Espinaca, Ajo"
mexicana_g,Pizza Mexicana,Vegetariana,"Tomate, Pimiento Rojo, Chile Jalapeno, Cebolla Roja, Cilantro, Maiz, Salsa Chipotle, Ajo"
pollo_suroeste_g,Pizza Pollo del Suroeste,Pollo,"Pollo, Tomate, Pimiento Rojo, Cebolla Roja, Chile Jalapeno, Maiz, Cilantro, Salsa Chipotle"
pollo_bbq_g,Pizza Pollo BBQ,Pollo,"Pollo a la Barbacoa, Pimiento Rojo, Pimiento Verde, Tomate, Cebolla Roja, Salsa Barbacoa"
pollo_cali_g,Pizza Pollo California,Pollo,"Pollo, Alcachofa, Espinaca, Ajo, Chile Jalapeno, Queso Fontina, Queso Gouda"
pollo_cali_m,Pizza Pollo California,Pollo,"Pollo, Alcachofa, Espinaca, Ajo, Chile Jalapeno, Queso Fontina, Queso Gouda"
pepperoni_g,Pizza Pepperoni,Clasica,"Queso Mozzarella, Pepperoni"
pollo_cali_p,Pizza Pollo California,Pollo,"Pollo, Alcachofa, Espinaca, Ajo, Chile Jalapeno, Queso Fontina, Queso Gouda"
pollo_pesto_g,Pizza Pollo con Pesto,Pollo,"Pollo, Tomate, Pimiento Rojo, Espinaca, Ajo, Salsa Pesto"
gran_carne_p,Pizza Gran Carne,Clasica,"Tocino, Pepperoni, Salchicha Italiana, Chorizo"
soppressata_g,Pizza Soppressata,Suprema,"Salami Soppressata, Queso Fontina, Queso Mozzarella, Champinon, Ajo"
cuatro_quesos_g,Pizza Cuatro Quesos,Vegetariana,"Queso Ricotta, Queso Gorgonzola Piccante, Queso Mozzarella, Queso Parmigiano Reggiano, Ajo"
napolitana_p,Pizza Napolitana,Clasica,"Tomate, Anchoa, Aceituna Verde, Cebolla Roja, Ajo"
calabresa_m,Pizza Calabresa,Suprema,"Salami Nduja, Panceta, Tomate, Cebolla Roja, Pimiento Friggitello, Ajo"
cuatro_quesos_m,Pizza Cuatro Quesos,Vegetariana,"Queso Ricotta, Queso Gorgonzola Piccante, Queso Mozzarella, Queso Parmigiano Reggiano, Ajo"
ital_veggie_p,Pizza Verduras Italianas,Vegetariana,"Berenjena, Alcachofa, Tomate, Calabacin, Pimiento Rojo, Ajo, Salsa Pesto"
mediterranea_m,Pizza Mediterranea,Vegetariana,"Espinaca, Alcachofa, Aceituna Kalamata, Tomate Seco, Queso Feta, Tomate Ciruela, Cebolla Roja"
salami_peppr_p,Pizza Salami Picante,Suprema,"Salami de Genova, Capocollo, Pepperoni, Tomate, Queso Asiago, Ajo"
espinaca_feta_g,Pizza Espinaca y Feta,Vegetariana,"Espinaca, Champinon, Cebolla Roja, Queso Feta, Ajo"
napolitana_g,Pizza Napolitana,Clasica,"Tomate, Anchoa, Aceituna Verde, Cebolla Roja, Ajo"
siciliana_g,Pizza Siciliana,Suprema,"Salami Siciliano, Tomate, Aceituna Verde, Salchicha Luganega, Cebolla, Ajo"
capocollo_ital_m,Pizza Capocollo Italiano,Clasica,"Capocollo, Pimiento Rojo, Tomate, Queso de Cabra, Ajo, Oregano"
